incident_date,tz,address,prefecture,incident,animal,title_detail,url
2024-04-25,夜,東京都八王子市千人町１丁目,東京都,痴漢,False,（東京）八王子市千人町１丁目で痴漢　４月２５日夜,http://this.kiji.is/1156374718217617875?c=134733695793120758
2024-05-28,午前,東京都八王子市,東京都,盗撮,False,（東京）八王子市で盗撮未遂　５月２８日午前,http://this.kiji.is/1168176149166506211?c=134733695793120758
2024-04-14,,東京都多摩市永山,東京都,バイク盗,False,（東京）多摩市永山でバイク盗　４月１４日から２０日,http://this.kiji.is/1156221535515395005?c=134733695793120758
2024-05-28,夕方,東京都中野区弥生町１丁目,東京都,声かけ,False,（東京）中野区弥生町１丁目で声かけ　５月２８日夕方,http://this.kiji.is/1168168057515590027?c=134733695793120758
2024-04-25,昼過ぎ,東京都足立区西新井栄町１丁目,東京都,不審な接触,False,（東京）足立区西新井栄町１丁目で不審な接触　４月２５日昼過ぎ,http://this.kiji.is/1156218864434889377?c=134733695793120758
2024-06-11,夜,東京都品川区戸越６丁目,東京都,痴漢,False,（東京）品川区戸越６丁目で痴漢　６月１１日夜,http://this.kiji.is/1173263051459248736?c=134733695793120758
2024-04-25,朝,東京都千代田区神田須田町１丁目,東京都,声かけ,False,（東京）千代田区神田須田町１丁目で声かけ　４月２５日朝,http://this.kiji.is/1156217874871386777?c=134733695793120758
2024-05-28,夕方,東京都府中市清水が丘２丁目,東京都,痴漢,False,（東京）府中市清水が丘２丁目で痴漢　５月２８日夕方,http://this.kiji.is/1168162524044968074?c=134733695793120758
2024-04-25,夕方,東京都中央区,東京都,粗暴行為,False,（東京）中央区で粗暴行為　４月２５日夕方,http://this.kiji.is/1156212418591785044?c=134733695793120758
2024-05-28,午後,東京都足立区綾瀬１丁目,東京都,声かけ,False,（東京）足立区綾瀬１丁目で声かけ　５月２８日午後,http://this.kiji.is/1168139608322785689?c=134733695793120758
